"","species","trmt","a","ase","b","bse","c","cse","per10mean","per10se","per50mean","per50se","per90mean","per90se","type"
"32","Bepa","Dro1",84.9333088280288,6.33904770043433,277.648029717458,3.02002476126321,-8.54215986474762,1.2077315491029,296.417073315817,2.03112015140048,277.648029717458,3.02002476126321,258.8789861191,5.31031502759229,"Percentage"
"33","Bepa","Dro2",14.0907576096067,2.60489801030436,292.993208146175,13.0698482321131,-20.5256348904049,8.91778966428862,338.092637592802,21.2390112054737,292.993208146175,13.0698482321131,247.893778699548,25.659817675198,"CCI"
"34","Bepa","Dro2",77.7968267195281,3.68021412985969,283.135162635315,1.77466437352368,-6.39982913484879,0.508382354498806,297.197024501157,1.9304008979914,283.135162635315,1.77466437352368,269.073300769473,2.25120692153987,"Percentage"
"35","Bepa","Dro3",15.4233283894876,1.67951654716072,293.226103965349,3.35578629781986,-6.99678179989949,1.68413820308869,308.599604898347,5.71940160665687,293.226103965349,3.35578629781986,277.852603032351,4.14697610146897,"A"
"36","Bepa","Dro3",14.9943795690238,2.96599916804712,298.961159788244,2.49799661690601,-5.53992716499576,0.469491267311231,311.133623911826,1.87346511301299,298.961159788244,2.49799661690601,286.788695664663,3.33142731884689,"CCI"
"37","Bepa","Dro3",75.9507124417112,5.50162605542605,286.082606406061,2.51604940646979,-6.38081948969954,0.447294108447054,300.102699812375,2.22840991895537,286.082606406061,2.51604940646979,272.062512999747,3.10274268872106,"Percentage"
"38","Bepa","Dro4",12.5134052722803,1.48053019977149,288.49477665387,14.6392745403052,-4.71927441592906,3.49800716019182,298.864082387743,21.9536149735337,288.49477665387,14.6392745403052,278.125470919996,8.04995962103272,"CCI"
"39","Bepa","Dro4",60.3602833332346,9.49712079599664,299.464101864839,5.83251273240882,-4.79572744156866,1.17603510088787,310.001392065659,8.41652595988972,299.464101864839,5.83251273240882,288.926811664019,3.24849950492791,"Percentage"
"40","Bepa","GS_ext",14.5179953748137,2.18623626447584,276.255813791466,6.10520578321891,1.44476368098711,6.02436222801587,273.081343523159,18.4381184069098,276.255813791466,6.10520578321891,279.430284059774,9.22023194514019,"A"
"41","Bepa","GS_ext",7.99999999988444,NA,262.000000050534,NA,-0.546961483274842,NA,263.201797264441,NA,262.000000050534,NA,260.798202836626,NA,"CCI"
"42","Bepa","GS_ext",74.4864539349569,3.12792165287452,275.741022720292,1.37157107003757,-6.4432923689959,0.558498730069492,289.898383072412,1.96279252314325,275.741022720292,1.37157107003757,261.583662368171,1.70928057930662,"Percentage"
"43","Bepa","GS_ext_heat",8.70094636560131,0.534368818321321,289.935513035488,3.98690265279225,-13.6961760868088,3.1986478780182,320.029087748949,3.04124507903367,289.935513035488,3.98690265279225,259.841938322027,11.0150503846182,"CCI"
"44","Bepa","GS_ext_heat",80.8479871036046,2.86126231742493,277.737774063879,1.49659623555962,-7.53026371283183,0.713225623880772,294.283454567536,1.87700104482912,277.737774063879,1.49659623555962,261.192093560221,2.42243229639645,"Percentage"
"45","Prvi","Con",14.0801978334421,1.05484256558321,263.825623588091,1.97558462293783,-6.85928407563765,1.30061564935835,278.897011142013,2.48882091320956,263.825623588091,1.97558462293783,248.754236034169,4.23615968414603,"A"
"46","Prvi","Con",10.0022642514554,1.09487439864978,271.087514381079,1.70433385144661,-5.43164864217981,0.546873372911294,283.022066273132,2.11742266331421,271.087514381079,1.70433385144661,259.152962489027,2.05273756665344,"CCI"
"47","Prvi","Con",89.3337939721825,1.59465422538823,269.056796370571,1.55068896633033,-3.00795836155548,0.341463042706683,275.665956410185,1.44725700012186,269.056796370571,1.55068896633033,262.447636330957,1.95972774438894,"Percentage"
"48","Prvi","con_heat",16.2715426963979,1.80316281592673,268.334797487234,1.27949875108731,-8.32065167866038,1.76010324116572,286.61713785504,3.58399801647892,268.334797487234,1.27949875108731,250.052457119427,4.51019535773673,"CCI"
"49","Prvi","con_heat",89.2700301128098,1.47606211251857,266.006545707503,1.15222753187377,-2.53708072461855,0.197486121043782,271.58108183032,1.30533902718607,266.006545707503,1.15222753187377,260.432009584685,1.15235501727386,"Percentage"
"50","Prvi","defol1",14.3700308104851,1.42221515475089,274.701523246948,5.66900053746713,-3.92944860588772,1.6958516438013,283.335404299184,9.22304329967176,274.701523246948,5.66900053746713,266.067642194712,2.641826296592,"CCI"
"51","Prvi","defol1",49.9990489377011,NA,290.86776369423,NA,-2.78941284203711,NA,296.996730147092,NA,290.86776369423,NA,284.738797241369,NA,"Percentage"
"52","Prvi","defol2",18.6074127733482,1.75095918312125,260.588091182598,18.1611820335045,-1.43961494341327,7.24924749029184,263.751248518166,33.6892688195342,260.588091182598,18.1611820335045,257.42493384703,5.66629682144478,"CCI"
"53","Prvi","Dro1",10.8378195883303,1.18092316387954,268.249859468474,2.2074624969091,-5.29190900670554,0.84333854963564,279.877371999034,2.60118819792197,268.249859468474,2.2074624969091,256.622346937914,3.13796914469177,"CCI"
"54","Prvi","Dro1",78.6590688405229,4.19713104475186,266.215888342414,1.49010565514205,-2.80094984072832,0.257995994451201,272.370204172348,1.65120316112485,266.215888342414,1.49010565514205,260.06157251248,1.53526958416173,"Percentage"
