#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Host Connected,Button Down,Button Up,End of File
373,03-20-2023 00:25:10,1.745,,,,
374,03-20-2023 00:35:10,1.499,,,,
375,03-20-2023 00:45:10,2.325,,,,
376,03-20-2023 00:55:10,2.829,,,,
377,03-20-2023 01:05:10,2.035,,,,
378,03-20-2023 01:15:10,1.606,,,,
379,03-20-2023 01:25:10,1.735,,,,
380,03-20-2023 01:35:10,2.850,,,,
381,03-20-2023 01:45:10,2.432,,,,
382,03-20-2023 01:55:10,1.756,,,,
383,03-20-2023 02:05:10,1.499,,,,
384,03-20-2023 02:15:10,2.389,,,,
385,03-20-2023 02:25:10,2.786,,,,
386,03-20-2023 02:35:10,2.014,,,,
387,03-20-2023 02:45:10,1.606,,,,
388,03-20-2023 02:55:10,1.778,,,,
389,03-20-2023 03:05:10,2.882,,,,
390,03-20-2023 03:15:10,2.389,,,,
391,03-20-2023 03:25:10,1.724,,,,
392,03-20-2023 03:35:10,1.456,,,,
393,03-20-2023 03:45:10,2.400,,,,
394,03-20-2023 03:55:10,2.754,,,,
395,03-20-2023 04:05:10,2.003,,,,
396,03-20-2023 04:15:10,1.606,,,,
397,03-20-2023 04:25:10,1.831,,,,
398,03-20-2023 04:35:10,2.914,,,,
399,03-20-2023 04:45:10,2.378,,,,
400,03-20-2023 04:55:10,1.692,,,,
401,03-20-2023 05:05:10,1.445,,,,
402,03-20-2023 05:15:10,2.453,,,,
403,03-20-2023 05:25:10,2.721,,,,
404,03-20-2023 05:35:10,1.981,,,,
405,03-20-2023 05:45:10,1.552,,,,
406,03-20-2023 05:55:10,1.896,,,,
407,03-20-2023 06:05:10,2.936,,,,
408,03-20-2023 06:15:10,2.335,,,,
409,03-20-2023 06:25:10,1.703,,,,
410,03-20-2023 06:35:10,1.413,,,,
411,03-20-2023 06:45:10,2.464,,,,
412,03-20-2023 06:55:10,2.957,,,,
413,03-20-2023 07:05:10,2.582,,,,
414,03-20-2023 07:15:10,2.217,,,,
415,03-20-2023 07:25:10,2.464,,,,
416,03-20-2023 07:35:10,3.515,,,,
417,03-20-2023 07:45:10,3.290,,,,
418,03-20-2023 07:55:10,2.593,,,,
419,03-20-2023 08:05:10,2.260,,,,
420,03-20-2023 08:15:10,3.161,,,,
421,03-20-2023 08:25:10,3.515,,,,
422,03-20-2023 08:35:10,2.882,,,,
423,03-20-2023 08:45:10,2.228,,,,
424,03-20-2023 08:55:10,2.582,,,,
425,03-20-2023 09:05:10,3.869,,,,
426,03-20-2023 09:15:10,3.225,,,,
427,03-20-2023 09:25:10,2.464,,,,
428,03-20-2023 09:35:10,2.164,,,,
429,03-20-2023 09:45:10,3.451,,,,
430,03-20-2023 09:55:10,3.322,,,,
431,03-20-2023 10:05:10,2.882,,,,
432,03-20-2023 10:15:10,2.367,,,,
433,03-20-2023 10:25:10,2.818,,,,
434,03-20-2023 10:35:10,3.933,,,,
435,03-20-2023 10:45:10,3.118,,,,
436,03-20-2023 10:55:10,2.367,,,,
437,03-20-2023 11:05:10,2.153,,,,
438,03-20-2023 11:15:10,3.311,,,,
439,03-20-2023 11:25:10,3.472,,,,
440,03-20-2023 11:35:10,2.786,,,,
441,03-20-2023 11:45:10,2.089,,,,
442,03-20-2023 11:55:10,2.818,,,,
443,03-20-2023 12:05:10,3.665,,,,
444,03-20-2023 12:15:10,2.914,,,,
445,03-20-2023 12:25:10,2.035,,,,
446,03-20-2023 12:35:10,1.713,,,,
447,03-20-2023 12:45:10,3.011,,,,
448,03-20-2023 12:55:10,2.990,,,,
449,03-20-2023 13:05:10,2.325,,,,
450,03-20-2023 13:15:10,2.056,,,,
451,03-20-2023 13:25:10,2.603,,,,
452,03-20-2023 13:35:10,3.354,,,,
453,03-20-2023 13:45:10,2.614,,,,
454,03-20-2023 13:55:10,2.078,,,,
455,03-20-2023 14:05:10,1.917,,,,
456,03-20-2023 14:15:10,3.161,,,,
457,03-20-2023 14:25:10,2.786,,,,
458,03-20-2023 14:35:10,2.325,,,,
459,03-20-2023 14:45:10,2.153,,,,
460,03-20-2023 14:55:10,2.711,,,,
461,03-20-2023 15:05:10,3.311,,,,
462,03-20-2023 15:15:10,2.636,,,,
463,03-20-2023 15:25:10,2.153,,,,
464,03-20-2023 15:35:10,2.003,,,,
465,03-20-2023 15:45:10,3.193,,,,
466,03-20-2023 15:55:10,2.829,,,,
467,03-20-2023 16:05:10,2.346,,,,
468,03-20-2023 16:15:10,2.099,,,,
469,03-20-2023 16:25:10,2.754,,,,
470,03-20-2023 16:35:10,3.301,,,,
471,03-20-2023 16:45:10,2.593,,,,
472,03-20-2023 16:55:10,2.174,,,,
473,03-20-2023 17:05:10,2.164,,,,
474,03-20-2023 17:15:10,3.225,,,,
475,03-20-2023 17:25:10,3.011,,,,
476,03-20-2023 17:35:10,2.249,,,,
477,03-20-2023 17:45:10,2.024,,,,
478,03-20-2023 17:55:10,2.786,,,,
479,03-20-2023 18:05:10,3.268,,,,
480,03-20-2023 18:15:10,2.646,,,,
481,03-20-2023 18:25:10,2.153,,,,
482,03-20-2023 18:35:10,2.132,,,,
483,03-20-2023 18:45:10,3.225,,,,
484,03-20-2023 18:55:10,2.818,,,,
485,03-20-2023 19:05:10,1.960,,,,
486,03-20-2023 19:15:10,1.670,,,,
487,03-20-2023 19:25:10,2.410,,,,
488,03-20-2023 19:35:10,2.904,,,,
489,03-20-2023 19:45:10,1.981,,,,
490,03-20-2023 19:55:10,1.692,,,,
491,03-20-2023 20:05:10,1.756,,,,
492,03-20-2023 20:15:10,2.839,,,,
493,03-20-2023 20:25:10,2.475,,,,
494,03-20-2023 20:35:10,1.713,,,,
495,03-20-2023 20:45:10,1.649,,,,
496,03-20-2023 20:55:10,2.410,,,,
497,03-20-2023 21:05:10,2.882,,,,
498,03-20-2023 21:15:10,2.035,,,,
499,03-20-2023 21:25:10,1.681,,,,
500,03-20-2023 21:35:10,1.810,,,,
501,03-20-2023 21:45:10,2.882,,,,
502,03-20-2023 21:55:10,2.410,,,,
503,03-20-2023 22:05:10,1.724,,,,
504,03-20-2023 22:15:10,1.509,,,,
505,03-20-2023 22:25:10,2.400,,,,
506,03-20-2023 22:35:10,2.786,,,,
507,03-20-2023 22:45:10,1.831,,,,
508,03-20-2023 22:55:10,1.649,,,,
509,03-20-2023 23:05:10,1.874,,,,
510,03-20-2023 23:15:10,2.925,,,,
511,03-20-2023 23:25:10,2.410,,,,
512,03-20-2023 23:35:10,1.713,,,,
513,03-20-2023 23:45:10,1.531,,,,
514,03-20-2023 23:55:10,2.421,,,,
515,03-21-2023 00:05:10,2.754,,,,
516,03-21-2023 00:15:10,1.960,,,,
517,03-21-2023 00:25:10,1.627,,,,
518,03-21-2023 00:35:10,1.906,,,,
519,03-21-2023 00:45:10,2.947,,,,
520,03-21-2023 00:55:10,2.389,,,,
521,03-21-2023 01:05:10,1.724,,,,
522,03-21-2023 01:15:10,1.381,,,,
523,03-21-2023 01:25:10,2.561,,,,
524,03-21-2023 01:35:10,2.775,,,,
525,03-21-2023 01:45:10,1.960,,,,
526,03-21-2023 01:55:10,1.638,,,,
527,03-21-2023 02:05:10,2.003,,,,
528,03-21-2023 02:15:10,2.979,,,,
529,03-21-2023 02:25:10,2.378,,,,
530,03-21-2023 02:35:10,1.756,,,,
531,03-21-2023 02:45:10,1.467,,,,
532,03-21-2023 02:55:10,2.550,,,,
533,03-21-2023 03:05:10,2.818,,,,
534,03-21-2023 03:15:10,1.960,,,,
535,03-21-2023 03:25:10,1.574,,,,
536,03-21-2023 03:35:10,1.820,,,,
537,03-21-2023 03:45:10,3.075,,,,
538,03-21-2023 03:55:10,2.464,,,,
539,03-21-2023 04:05:10,1.778,,,,
540,03-21-2023 04:15:10,1.606,,,,
541,03-21-2023 04:25:10,2.571,,,,
542,03-21-2023 04:35:10,2.689,,,,
543,03-21-2023 04:45:10,1.820,,,,
544,03-21-2023 04:55:10,1.724,,,,
545,03-21-2023 05:05:10,2.153,,,,
546,03-21-2023 05:15:10,3.054,,,,
547,03-21-2023 05:25:10,2.314,,,,
548,03-21-2023 05:35:10,1.756,,,,
549,03-21-2023 05:45:10,1.520,,,,
550,03-21-2023 05:55:10,2.614,,,,
551,03-21-2023 06:05:10,2.657,,,,
